amount,customer_age_days,device_age_days,prior_success_count,prior_chargeback_count,velocity_1h,velocity_24h,pincode_distance_km,phone_verified,device_trusted,ip_country_match,hour,is_fraud
728.23,284,126,13,0,1,3,18.24,1,1,1,22,0
7352.49,309,22,16,0,2,6,46.51,1,1,1,20,0
445.03,219,243,4,0,4,5,5.62,0,0,1,13,0
3251.45,453,62,15,0,2,5,0.7,1,1,1,22,0
16162.61,199,59,17,0,4,8,2.77,0,1,1,13,0
671.47,299,98,12,0,2,3,15.99,1,0,1,12,0
1026.29,106,34,18,0,2,3,17.13,1,1,1,9,0
1997.5,70,17,2,0,3,3,19.2,0,1,1,9,0
1092.83,245,18,1,0,2,4,10.09,1,1,1,2,0
383.5,170,24,16,0,3,5,19.74,1,1,1,12,0
1936.36,176,57,4,0,3,7,1197.83,1,1,1,14,1
624.97,139,109,1,0,3,6,17.22,1,1,0,9,0
2903.27,295,41,1,0,3,9,1.06,0,0,1,7,0
720.95,197,30,28,0,4,6,27.3,1,1,1,13,0
8517.98,598,94,16,0,2,2,32.94,1,1,1,21,0
826.13,192,20,11,0,1,2,89.09,0,1,1,20,0
1310.2,226,70,27,0,3,5,3.65,1,0,1,13,0
4078.63,318,6,10,0,3,4,21.02,1,1,1,11,0
528.02,244,7,1,0,1,5,2.73,1,1,1,11,0
2269.83,73,61,6,0,3,7,39.12,1,1,1,12,1
6681.8,153,5,1,0,1,6,8.82,1,1,1,14,0
362.32,101,10,16,0,2,3,41.45,1,1,1,7,0
2174.67,236,58,6,0,4,6,60.25,1,1,1,0,0
2344.63,209,34,45,0,3,8,8.86,1,1,1,9,0
3951.39,305,49,6,0,4,6,11.26,1,1,1,19,0
524.82,331,226,3,0,3,8,4.1,1,1,1,23,0
482.77,101,59,15,0,4,6,392.62,0,0,1,10,1
3047.09,327,53,2,0,3,5,0.45,0,1,1,9,0
2433.25,359,28,2,0,1,6,46.56,1,0,1,8,0
2322.72,85,59,11,0,1,4,0.07,1,1,1,10,0
2556.64,226,1,10,0,4,8,18.28,1,1,1,20,0
915.96,400,48,3,1,2,5,65.24,1,1,1,7,1
2280.74,151,4,3,0,2,4,4.98,1,1,1,19,0
2423.75,177,14,12,0,4,13,5.75,1,1,1,10,0
885.05,226,49,23,0,3,6,32.19,1,1,1,18,0
11681.65,6,66,9,0,3,7,787.72,1,1,1,13,1
2903.97,194,29,10,0,1,1,12.14,1,1,1,11,0
549.33,203,32,10,0,4,9,9.38,1,1,1,12,0
3486.15,265,41,13,0,1,2,10.81,1,1,1,13,0
682.2,272,85,4,0,3,8,27.89,1,1,1,6,0
3972.24,173,1,12,2,2,8,8.49,1,0,1,8,1
5759.44,481,35,25,0,1,3,51.4,1,0,1,12,0
795.78,100,1,10,0,1,2,7.1,1,0,1,11,0
4738.03,300,23,18,0,3,4,8.53,1,1,1,20,0
2731.98,23,44,31,0,3,7,6.93,0,0,1,9,1
4113.63,185,4,19,0,7,14,21.43,1,1,1,8,1
12049.68,19,39,22,0,2,8,4.15,1,1,1,2,0
1414.61,194,155,21,0,2,8,7.15,1,0,1,18,0
850.87,242,69,20,0,2,6,66.84,1,1,1,9,0
742.84,142,91,4,0,2,5,1147.86,1,0,1,13,1
799.66,181,52,21,0,2,6,43.3,1,1,1,18,0
1673.88,284,136,9,0,3,5,8.24,1,0,1,7,0
2543.13,4,9,16,0,3,8,40.57,1,0,1,12,1
2384.37,125,35,11,0,2,4,20.27,0,0,1,19,0
4134.75,407,54,30,0,1,5,15.36,1,1,1,11,0
1831.7,71,124,17,0,2,4,10.84,1,1,1,10,0
7735.18,109,22,18,0,1,4,1.19,0,0,1,8,0
1387.62,31,1,19,0,1,6,1.94,1,0,1,22,0
27451.31,126,219,10,0,2,4,24.32,0,1,1,18,0
3380.12,167,1,19,0,2,6,15.78,1,1,1,14,0
767.27,709,9,3,0,1,2,44.03,1,1,1,21,0
619.62,232,32,11,0,3,4,10.45,1,0,1,12,0
2929.16,131,41,16,0,2,7,14.92,0,1,1,12,0
1445.97,49,107,9,0,2,3,14.79,0,1,1,17,0
3692.28,110,35,42,0,2,4,4.4,1,1,1,14,0
2902.24,94,47,5,0,3,4,129.26,1,0,1,18,0
1681.05,26,13,2,0,3,6,4.81,1,0,1,17,1
775.27,69,50,29,0,2,4,17.37,1,1,1,8,0
397.48,134,25,12,0,2,3,25.54,0,0,1,14,0
1156.88,148,6,3,0,2,4,1220.63,0,0,1,17,1
4257.34,281,175,7,0,2,5,2.26,1,1,1,20,0
2239.69,419,5,1,0,1,4,246.99,1,1,1,22,0
520.22,146,67,4,0,1,4,26.63,1,1,1,12,0
2149.91,306,143,11,0,3,4,19.24,1,1,1,15,0
2657.97,131,11,18,0,6,8,2.09,1,1,1,19,0
747.06,88,16,6,0,2,5,17.32,1,0,1,7,0
2108.49,272,33,4,0,5,8,1252.47,1,1,1,11,1
1916.41,129,20,5,0,2,4,73.35,1,1,1,22,0
576.53,97,85,6,2,1,5,0.83,0,0,1,17,1
2585.79,84,24,12,0,2,6,33.34,1,0,1,9,0
3167.77,44,255,30,0,4,7,22.53,1,0,1,13,0
5340.38,181,117,1,0,1,3,16.06,1,1,1,8,0
5186.44,114,135,5,0,3,7,33.2,1,1,1,18,0
455.93,313,3,1,0,3,5,11.28,1,0,1,19,0
707.81,486,11,4,0,2,4,4.1,1,0,1,7,0
3026.12,84,11,8,0,2,9,15.6,1,1,1,20,0
3022.34,58,66,2,1,2,8,36.98,1,0,1,20,1
3026.15,426,1,15,0,3,6,2.31,1,1,1,18,0
85197.85,194,98,3,0,1,5,1226.28,1,0,1,17,1
3199.95,189,47,15,0,2,3,5.05,1,1,1,15,0
5628.32,219,50,5,0,1,1,28.68,1,0,1,8,0
4693.82,348,46,7,0,1,2,32.41,1,1,1,14,0
3468.2,346,45,13,0,3,4,1.43,1,0,1,17,0
1319.13,264,13,37,0,1,3,43.27,1,0,1,22,0
3862.11,71,19,5,0,3,5,7.45,1,1,1,10,0
834.79,36,40,1,0,1,4,43.95,0,1,1,23,0
1426.79,71,67,31,0,3,6,12.3,0,1,1,8,0
1112.8,47,19,15,0,4,8,12.05,1,0,1,18,1
1962.3,284,98,4,0,2,7,11.26,0,1,1,17,0
18300.04,108,99,9,0,4,7,46.43,1,0,1,13,0
279.43,260,19,10,0,4,8,360.4,1,1,1,12,0
3591.27,175,49,5,0,2,5,3.94,0,1,1,13,0
360.43,107,25,2,0,3,5,0.84,1,0,1,11,0
1127.85,85,12,7,0,3,7,4.46,1,1,1,9,0
5371.97,101,98,2,0,2,7,30.04,1,1,1,7,0
1928.08,58,285,36,0,1,3,13.45,1,1,1,3,0
615.39,494,50,22,0,2,4,34.31,1,1,1,12,0
884.21,162,147,22,0,3,7,35.01,1,1,1,9,0
3567.42,175,61,1,0,1,4,0.58,1,1,1,19,0
870.99,172,50,6,0,8,10,19.57,0,0,1,20,1
2245.0,280,39,2,0,5,11,8.48,1,1,1,4,1
1892.34,94,16,11,0,5,8,2.47,1,0,1,7,1
942.37,359,5,0,0,3,5,7.46,1,0,1,18,0
15428.07,138,35,23,0,4,6,5.53,1,0,1,17,1
3408.13,134,49,7,0,2,5,25.04,1,1,1,15,0
238.62,394,42,7,3,2,7,5.67,1,1,1,9,1
2178.64,93,71,8,1,3,9,10.74,1,1,1,17,1
932.82,227,12,3,0,2,7,21.37,1,1,1,18,0
4240.49,171,26,14,0,1,3,8.65,0,1,1,8,0
818.5,107,32,6,0,3,7,8.94,0,1,1,18,1
1612.05,251,12,11,0,2,3,5.68,1,0,1,10,0
2995.86,67,142,17,0,2,5,0.74,1,0,1,18,0
4297.36,106,68,2,0,6,11,2.75,1,0,1,16,1
544.41,185,5,2,0,1,2,17.44,1,1,1,13,0
1294.01,450,74,8,0,2,6,8.2,0,0,1,13,0
1124.46,425,47,10,0,3,9,2.46,1,1,1,9,0
940.74,230,44,22,0,2,5,14.09,1,1,1,13,0
10566.61,141,275,10,0,2,6,948.64,1,1,1,14,0
2710.75,28,57,15,0,5,9,18.64,1,1,1,6,0
512.41,308,136,12,0,2,4,19.3,1,1,1,18,0
4527.21,336,146,18,0,2,6,9.22,1,1,1,16,0
15095.56,227,6,37,0,2,5,25.54,1,1,1,10,0
5076.95,145,1,6,0,2,3,22.91,0,1,0,16,0
395.69,291,34,4,0,2,7,12.66,0,0,1,16,0
1114.06,168,87,6,1,2,6,14.82,1,1,1,11,1
6418.32,154,104,26,3,1,6,1326.38,1,1,1,12,1
890.99,47,92,4,0,5,8,1194.48,1,1,1,13,1
2818.1,281,35,8,0,3,7,5.05,1,1,1,17,0
3923.09,190,83,3,0,2,4,9.51,1,1,1,12,0
715.56,423,76,5,0,1,4,2.98,0,1,1,21,0
1703.56,112,22,4,0,1,8,0.45,1,1,1,15,0
70.72,89,11,6,2,3,6,9.31,1,0,1,5,1
649.12,334,58,11,0,3,4,63.64,1,0,1,11,0
1404.49,380,67,11,0,4,6,13.1,1,1,1,18,0
519.16,175,50,4,0,3,8,70.02,1,1,1,19,0
9250.3,299,14,1,0,4,7,15.45,1,0,1,16,1
432.62,138,19,24,0,5,7,23.04,1,1,1,8,0
1164.39,143,73,17,0,2,7,26.72,1,0,1,11,0
2060.58,228,197,38,0,3,5,34.86,1,0,1,18,0
7640.92,142,173,6,0,2,7,44.99,1,1,1,20,0
430.15,206,43,0,0,2,3,21.47,1,0,1,16,0
5785.81,186,130,24,0,3,5,1108.86,1,0,1,8,0
1826.64,73,1,7,0,5,6,42.66,1,1,1,13,1
677.56,205,118,3,0,2,5,14.99,0,1,1,8,0
2870.1,75,38,9,0,3,8,24.12,1,0,1,11,0
2206.27,284,91,5,0,2,5,101.88,1,1,1,9,0
992.06,338,1,9,0,4,5,14.72,1,1,1,17,0
1938.76,155,121,5,0,4,9,16.36,1,0,1,23,1
1229.9,452,54,2,0,3,4,1.78,0,1,1,10,0
2025.39,376,16,14,0,3,4,13.93,0,1,1,0,0
3505.65,208,25,7,0,2,5,1.23,1,1,1,20,0
8830.94,144,13,20,0,4,6,13.8,1,1,1,18,0
524.36,320,33,1,0,4,7,20.48,0,1,1,20,1
15260.66,457,24,13,0,4,8,1.78,1,1,1,21,0
256.7,219,45,10,0,2,2,49.45,1,1,1,20,0
1553.42,503,101,22,0,2,5,13.57,1,1,1,23,0
3256.2,123,241,8,0,3,5,21.45,1,1,1,14,0
2394.65,267,17,11,0,2,6,510.2,1,1,1,13,0
970.0,174,6,1,0,1,10,10.7,1,1,1,10,0
1468.33,85,30,0,0,3,7,35.08,1,0,0,10,1
1104.34,131,9,17,0,2,4,8.56,1,1,1,13,0
1002.88,337,107,18,0,2,3,47.0,1,1,1,19,0
4228.5,161,41,1,0,3,7,3.02,0,1,1,11,0
2583.8,119,58,3,0,3,4,51.5,1,1,1,11,0
904.24,387,9,12,0,3,4,5.66,1,1,1,16,0
4445.29,331,83,24,1,5,9,2.65,1,1,1,22,1
2458.48,135,218,6,0,3,6,8.39,1,0,1,9,0
4075.96,518,39,9,0,2,7,752.54,1,1,1,17,0
3393.54,166,196,9,0,3,6,8.81,1,1,1,19,0
789.19,219,2,8,0,3,5,5.36,1,1,1,12,0
1032.58,185,2,3,0,4,5,80.85,1,1,1,19,0
3817.28,96,193,10,0,2,7,9.33,1,1,1,13,0
3328.81,158,72,8,0,2,3,43.94,0,1,1,8,0
1770.64,172,12,4,0,1,5,34.89,1,1,1,8,0
2033.12,37,27,32,0,2,5,7.59,1,1,1,15,0
6487.71,212,42,1,0,5,7,924.52,1,0,1,16,1
1000.67,305,72,30,0,1,4,9.94,1,1,1,16,0
3124.71,76,110,12,0,1,1,2.35,0,1,1,16,0
1477.06,272,5,16,0,3,9,31.7,1,0,1,9,0
1454.36,348,64,3,3,1,7,17.13,1,1,1,6,1
5425.02,7,38,32,0,2,4,6.33,1,1,1,4,0
4127.46,159,54,7,0,2,4,9.0,1,0,1,20,0
4078.6,513,42,19,0,1,4,17.48,1,1,1,10,0
6670.69,209,35,9,0,3,5,12.61,1,0,1,21,0
1846.42,36,13,2,0,1,8,1.73,0,1,1,8,0
3575.83,65,38,1,0,2,3,8.46,1,1,1,6,0
1325.75,215,12,24,0,3,6,7.24,1,0,1,20,0
2500.3,263,2,0,0,3,8,939.09,1,0,1,11,1
1587.41,182,28,8,0,3,8,2.42,0,1,1,9,0
1992.2,207,1,15,0,2,8,24.8,1,1,1,1,0
3278.55,186,49,14,0,2,4,6.96,0,1,1,17,0
797.74,111,4,5,0,4,5,50.32,1,1,1,16,1
14652.81,186,34,6,0,1,3,18.07,1,1,1,19,0
661.15,51,235,26,0,4,6,4.19,1,1,1,15,0
536.9,139,1,6,0,2,4,10.07,0,1,1,17,0
5756.65,251,27,7,0,3,4,1455.28,1,1,1,15,1
3990.46,91,67,3,0,2,5,33.58,1,1,1,12,0
3374.9,148,10,12,0,6,9,17.7,1,1,1,16,0
3389.19,195,49,33,0,2,5,25.39,1,1,1,19,0
1786.03,494,17,7,0,2,10,71.16,1,1,1,1,0
737.12,329,15,1,0,1,2,39.56,1,0,1,15,0
1950.43,49,135,2,0,3,3,15.41,1,0,1,7,0
918.59,567,13,10,0,2,9,71.08,1,1,1,22,0
4794.0,404,28,4,0,2,5,3.41,1,1,1,9,0
1560.78,203,11,18,1,2,6,4.62,1,0,1,6,1
791.95,296,20,7,0,3,4,12.31,0,1,1,9,0
1311.09,101,20,15,0,2,6,496.09,1,1,1,11,1
2732.39,172,23,10,0,3,12,25.31,1,1,1,19,0
1028.93,97,61,2,0,3,6,0.53,1,1,1,13,0
794.55,261,81,5,0,2,3,6.58,1,0,1,8,0
2306.96,673,42,7,0,5,8,1.98,1,0,1,6,0
2309.92,134,56,34,0,2,5,13.64,1,1,1,16,0
1089.05,160,100,22,0,2,8,37.09,1,1,1,5,0
1128.86,176,463,2,0,1,4,18.88,1,0,1,18,0
2280.27,139,36,7,1,2,6,7.94,1,1,1,12,1
424.93,252,165,10,0,3,7,55.62,1,0,1,20,0
442.54,345,40,4,0,2,6,10.56,1,1,0,22,0
881.44,118,91,5,0,4,7,3.92,1,1,1,7,0
1460.53,175,51,2,0,3,7,13.4,1,1,1,17,0
2467.37,273,129,11,0,2,7,1.43,1,1,1,13,0
7905.83,90,35,3,0,1,3,11.41,0,0,1,12,0
4262.71,69,71,1,0,3,5,42.69,1,0,1,16,0
1540.81,116,37,6,0,1,4,11.86,1,0,1,11,0
1773.99,282,116,11,0,1,4,34.7,1,1,1,18,0
663.46,87,310,8,0,2,6,42.74,1,1,1,17,0
1774.88,122,16,9,0,1,6,28.05,1,1,1,10,0
1354.71,176,38,5,0,3,6,12.11,1,1,1,14,0
2496.68,196,5,5,0,1,7,4.97,0,0,1,12,1
790.58,160,9,29,0,4,10,4.19,1,1,1,20,0
3039.19,179,158,21,0,4,8,4.78,1,1,1,21,0
8372.76,54,47,9,0,3,9,18.7,1,0,1,16,1
1621.72,113,30,3,0,5,9,21.06,1,0,1,10,1
2701.9,295,66,17,0,2,5,65.35,1,1,1,16,0
3605.24,106,49,25,0,2,3,15.0,1,0,1,18,0
1210.49,200,20,16,0,3,4,58.96,1,1,1,9,0
2262.2,187,15,7,0,8,10,10.53,1,1,1,19,1
1830.95,276,53,10,0,3,6,4.46,0,0,1,15,0
1993.56,302,12,5,0,4,7,18.88,1,0,1,8,1
834.63,355,8,10,0,3,9,5.92,1,0,1,10,0
1852.91,422,22,9,0,1,8,27.34,0,1,1,18,0
2975.0,88,118,15,0,4,7,16.9,1,1,0,19,0
7716.71,30,2,5,0,4,9,40.85,1,0,1,9,1
4718.62,134,107,33,0,5,7,29.64,1,0,1,1,0
15571.26,83,58,2,0,3,3,1.56,1,1,1,0,0
839.37,97,2,11,0,2,5,17.91,1,0,1,13,0
4325.66,245,55,18,0,2,6,2.92,1,1,1,19,0
2171.87,342,33,3,0,1,3,33.21,0,1,1,21,0
16152.06,203,110,12,0,6,9,22.19,0,0,0,16,1
805.69,110,142,14,0,1,6,28.1,1,1,1,10,0
780.77,210,20,11,0,1,7,10.07,1,0,1,9,0
992.88,282,91,24,3,3,6,1078.46,0,1,1,18,1
216.18,55,22,16,0,3,6,2.26,1,0,1,16,0
1068.75,141,21,2,0,3,6,8.85,1,1,1,11,0
846.29,150,12,10,0,4,6,850.13,1,1,1,13,1
2101.47,157,68,6,0,2,10,18.76,1,1,1,3,0
2544.67,92,18,17,0,2,4,36.62,0,0,1,18,1
11803.73,213,37,13,0,2,4,26.65,0,1,1,13,0
4677.05,226,100,9,0,3,7,30.99,1,1,1,21,0
1015.46,86,94,4,0,2,5,2.57,1,1,1,13,0
736.26,394,116,5,0,1,3,46.26,1,1,1,5,0
2956.97,70,10,3,0,3,6,20.04,1,0,1,10,1
482.88,107,53,12,0,2,4,75.71,1,1,1,15,0
11287.59,65,147,4,0,3,7,36.83,1,0,1,19,0
5880.75,57,2,7,0,1,1,12.29,1,1,1,17,0
1130.96,190,94,21,0,2,5,8.3,0,1,1,2,0
325.99,106,16,18,0,4,5,145.93,1,1,1,18,0
7001.45,303,66,20,0,5,10,39.69,0,1,1,21,0
1612.37,93,75,2,0,2,14,31.36,0,0,1,10,1
6234.27,107,155,1,0,2,6,26.28,1,0,1,8,0
367.08,278,42,53,0,5,10,35.33,1,1,1,16,0
992.9,76,113,8,0,1,7,909.71,0,1,1,16,1
1817.55,125,2,6,0,3,9,51.53,1,0,1,5,1
1895.01,390,32,4,0,4,6,1.3,1,1,1,12,0
1152.78,16,34,4,0,1,4,7.16,1,1,1,18,0
3370.61,7,46,16,0,2,2,32.38,1,1,1,19,0
621.65,55,39,5,0,3,7,653.83,0,1,1,6,1
1568.1,432,206,3,0,3,8,0.26,1,0,1,22,0
2039.16,229,4,12,0,3,11,0.27,1,1,1,17,0
3024.31,212,18,4,0,4,8,9.43,0,0,1,18,1
3683.49,55,207,6,0,2,5,791.03,1,0,0,14,0
587.2,185,35,19,0,2,7,415.83,1,1,1,12,0
389.9,88,50,14,0,1,4,27.33,1,1,1,12,0
6487.79,308,5,11,0,2,2,34.35,1,1,1,15,0
2520.76,317,20,16,0,2,3,0.22,1,0,1,9,0
855.35,115,2,6,0,4,6,15.57,1,1,1,18,0
8528.36,240,8,11,0,2,5,14.05,1,0,1,15,0
2029.76,220,60,15,0,3,7,18.6,1,1,0,15,0
5879.91,159,86,5,0,2,5,6.97,1,0,1,13,0
1934.33,90,122,20,0,3,4,3.91,1,1,1,21,0
14196.46,126,17,22,0,2,4,2.75,1,0,1,12,0
10460.28,301,24,6,0,6,8,34.56,1,0,1,14,1
1409.56,393,50,37,0,3,9,15.19,1,1,1,15,0
4777.01,134,5,9,0,1,1,1446.22,0,1,1,10,1
3447.4,418,98,14,0,3,4,22.6,1,1,1,11,0
7105.55,229,39,12,0,2,5,17.5,1,1,1,6,0
688.89,163,202,22,0,4,8,15.43,1,1,1,9,0
3590.52,150,7,13,0,1,2,12.37,1,1,1,19,0
5210.47,94,8,13,0,1,3,13.31,1,1,1,10,0
311.46,251,25,16,0,2,5,29.46,1,1,1,13,0
553.77,463,13,5,0,2,3,3.35,1,1,1,12,0
235.28,158,71,18,0,2,7,11.51,0,1,1,20,0
1381.04,82,176,13,0,3,6,10.1,1,1,1,18,0
3705.38,278,5,11,3,3,8,10.75,1,0,1,17,1
8122.21,129,16,0,0,3,4,9.89,1,1,1,2,0
1947.1,93,16,8,0,1,3,8.81,1,1,1,13,0
9215.26,53,42,7,0,2,5,3.27,0,0,1,9,0
454.82,246,36,3,0,2,2,83.13,1,0,1,16,0
329.18,355,77,12,0,2,3,55.95,1,1,1,13,0
1710.35,67,79,17,0,4,9,45.02,1,1,1,6,0
2654.64,139,51,5,0,2,8,17.02,1,1,1,21,1
1749.88,148,53,2,0,1,5,21.08,1,1,1,17,0
228.73,98,110,4,0,3,6,25.68,0,0,1,21,0
1653.88,411,30,40,0,5,6,4.17,1,1,1,20,0
490.55,51,1,11,0,3,4,12.55,1,0,1,18,0
3532.19,231,14,5,0,3,4,9.76,1,0,1,11,0
2608.68,260,2,17,0,3,6,10.37,1,0,1,19,0
706.36,98,30,11,0,3,6,42.12,0,1,1,14,1
1081.53,80,26,15,0,2,9,9.07,1,1,1,9,0
